data,hora,abertura,maximo,minimo,fechamento_atual,negocios,quantidade_papeis,<SPREAD>
2013/10/17,09:00:00,54475,54600,54360,54420,13660,4033,5
2013/10/17,09:15:00,54420,54495,54310,54320,12870,3117,5
2013/10/17,09:30:00,54320,54340,54185,54285,18020,4128,5
2013/10/17,09:45:00,54290,54440,54245,54255,18040,4633,5
2013/10/17,10:00:00,54265,54455,54250,54415,25610,6270,5
2013/10/17,10:15:00,54420,54620,54305,54610,35420,9215,5
2013/10/17,10:30:00,54610,54690,54525,54670,36770,8905,5
2013/10/17,10:45:00,54670,54840,54670,54795,38370,9755,5
2013/10/17,11:00:00,54785,54800,54505,54580,42700,10691,5
2013/10/17,11:15:00,54580,54635,54420,54530,31540,8228,5
2013/10/17,11:30:00,54525,54685,54525,54680,24950,6190,5
2013/10/17,11:45:00,54670,54670,54350,54385,35190,8943,5
2013/10/17,12:00:00,54370,54375,54210,54265,36280,9226,5
2013/10/17,12:15:00,54265,54455,54260,54350,21620,5480,5
2013/10/17,12:30:00,54350,54510,54245,54510,24740,6231,5
2013/10/17,12:45:00,54510,54790,54505,54685,36690,9196,5
2013/10/17,13:00:00,54675,54700,54575,54635,12390,2912,5
2013/10/17,13:15:00,54630,54780,54590,54640,14300,3331,5
2013/10/17,13:30:00,54640,54750,54625,54680,9610,2197,5
2013/10/17,13:45:00,54680,54745,54610,54705,14450,3365,5
2013/10/17,14:00:00,54705,54720,54630,54640,6940,1432,5
2013/10/17,14:15:00,54640,54670,54485,54510,22580,5700,5
2013/10/17,14:30:00,54505,54630,54470,54615,15540,3817,5
2013/10/17,14:45:00,54620,54705,54410,54465,29560,7824,5
2013/10/17,15:00:00,54465,54530,54355,54460,18370,4778,5
2013/10/17,15:15:00,54465,54475,54350,54380,17390,4369,5
2013/10/17,15:30:00,54385,54595,54310,54525,21590,5668,5
2013/10/17,15:45:00,54525,54555,54470,54530,14130,3842,5
2013/10/17,16:00:00,54520,54530,54420,54515,15530,3887,5
2013/10/17,16:15:00,54515,54520,54255,54290,24060,5954,5
2013/10/17,16:30:00,54285,54490,54250,54465,26160,6702,5
2013/10/17,16:45:00,54470,54675,54430,54570,28010,7816,5
2013/10/17,17:00:00,54555,54580,54470,54525,10930,3058,5
2013/10/17,17:15:00,54530,54570,54490,54550,5290,1526,5
2013/10/17,17:30:00,54545,54640,54545,54605,6250,1831,5
2013/10/17,17:45:00,54610,54710,54565,54710,5440,2289,5
2013/10/18,09:00:00,54790,54895,54760,54780,10140,2632,5
